data,Dis,V1,V2,V3,V4,V5
6/15/2020,0.716,0.937,47.4,15.294,71.92,60.966
6/29/2020,0.303,0.644,15.2,22.207,69.033,13.385
7/13/2020,0.689,0.26,8,20.453,70.487,7.158
7/27/2020,0.199,0.413,27.6,19.479,73.601,9.436
8/10/2020,0.14,0.21,45.4,21.543,74.452,37.152
8/24/2020,0.154,0.143,1.2,25.11,69.842,23.155
9/7/2020,0.118,0.171,38.4,20.043,73.726,17.213
9/21/2020,0.559,0.137,26.4,17.817,77.658,96.147
10/5/2020,1.909,0.399,162.8,11.879,82.327,24.384
10/19/2020,0.655,2.738,246.4,7.864,88.708,36.949
11/2/2020,0.473,1.141,37,12.928,88.801,33.187
11/16/2020,2.21,0.437,3.2,8.74,94.533,22.266
11/30/2020,10.103,1.115,36.6,5.779,92.551,89.098
12/14/2020,5.127,9.496,249.6,2.975,95.068,17.884
12/28/2020,9.989,8.113,20.6,1.057,93.771,70.936
1/11/2021,5.358,4.997,256.2,-1.907,92.887,32.553
1/25/2021,4.034,7.393,65,3.893,87.667,57.672
2/8/2021,4.02,3.889,52.4,8.893,90.393,115.242
2/22/2021,1.653,2.709,65.2,6.897,83.473,0.083
3/8/2021,0.959,1.308,2.6,3.578,78.824,36.747
3/22/2021,0.965,0.865,6.2,-0.594,75.643,39.868
4/5/2021,4.119,1.231,14,9.212,67.476,41.824
4/19/2021,3.109,7.139,103.8,3.472,80.943,24.896
5/3/2021,2.25,4.786,78.4,12.017,81.417,11.146
5/17/2021,2.003,1.576,37,9.615,70.202,14.052
5/31/2021,1.191,1.238,36.6,14.682,68.205,25.776
6/14/2021,2.673,1.632,45.8,20.024,74.193,0.258
6/28/2021,0.171,3.654,0.6,21.06,65.393,1.18
7/12/2021,0.146,0.148,0.2,21.224,60.301,12.949
7/26/2021,0.147,0.139,32,23.172,71.542,4.06
8/9/2021,0.665,0.144,42.6,20.961,57.173,0.406
8/23/2021,0.155,1.198,0,22.633,57.926,28.824
