data,Dis,V1,V2,V3,V4,V5
3/28/2015,0.5931,1.139,14,10.231,74.129,11.305
4/11/2015,0.51842,0.567,3.2,13.001,75.009,63.105
4/25/2015,1.87812,0.617,32,7.661,75.473,23.752
5/9/2015,1.71264,1.673,117.6,11.056,77.967,42.93
5/23/2015,0.36288,0.787,48.2,13.533,78.887,16.85
6/6/2015,0.14664,0.274,0.8,19.84,65.98,11.35
6/20/2015,0.06984,0.128,3.6,20.113,64.86,8.412
7/4/2015,0.04606,0.063,20.2,15.713,59.896,18.611
7/18/2015,0.0265,0.053,0.6,18.29,56,3.287
8/1/2015,0.0308,0.024,8,23.694,57.024,1.6
8/15/2015,0.0182,0.031,21.8,17.386,53.235,1.511
8/29/2015,0.0801,0.011,0.6,25.764,58.821,42.203
9/12/2015,0.06741,0.159,92.4,15.229,68.262,31.657
9/26/2015,0.05742,0.091,48.2,14.064,78.317,138.175
10/10/2015,0.126,0.094,13.2,11.347,89.651,16.552
10/24/2015,0.10584,0.127,9.4,13.056,83.384,18.745
11/7/2015,2.008,0.126,49.6,10.571,79.964,104.861
11/21/2015,3.01889,3.136,178.8,4.654,93.436,31.122
12/5/2015,7.93254,4.111,96.2,-0.362,91.448,69.056
12/19/2015,5.41695,11.966,169.6,2.2,81.119,9.532
1/2/2016,7.59702,7.365,125.8,3.626,89.024,48.263
1/16/2016,4.87134,4.852,105.8,1.415,89.488,40.218
1/30/2016,4.681,2.979,68.4,6.536,81.497,37.244
2/13/2016,2.49798,3.574,185,1.228,90.47,32.861
2/27/2016,5.67196,2.012,48.2,-1.656,95.262,80.326
3/12/2016,4.25698,7.674,173.2,6.601,91.577,151.959
3/26/2016,3.9546,3.484,138.4,0.747,81.119,29.833
4/9/2016,2.97041,4.744,75.8,10.911,70.437,28.798
4/23/2016,2.9095,2.497,35,16.225,80.048,22.606
5/7/2016,1.91737,3.657,74,12.182,78.744,43.237
5/21/2016,1.35928,2.148,50.8,13.61,83.054,49.505
6/4/2016,0.35987,0.954,31,18.864,80.643,70.895
6/18/2016,0.45632,0.573,45.2,16.749,77.068,26.203
7/2/2016,2.25855,0.477,32.8,21.369,71.686,9.157
7/16/2016,0.3377,4.096,27.8,22.262,73.113,21.69
7/30/2016,0.15456,0.24,91.6,22.467,68.387,16.386
8/13/2016,0.132,0.147,47.2,22.532,69.895,44.43
8/27/2016,0.13741,0.148,32,18.028,73.149,89.398
9/10/2016,0.1155,0.176,32,17.692,78.928,43.557
9/24/2016,0.54288,0.129,10.8,20.212,80.928,116.86
10/8/2016,0.09646,0.955,57,11.654,80.523,58.522
10/22/2016,1.8012,0.092,20.8,12.483,92.015,104.215
11/5/2016,0.65268,3.641,150,10.706,87.113,4.156
11/19/2016,3.23988,0.652,52,2.462,93.351,64.637
12/3/2016,1.64731,2.541,101.8,2.868,94.937,32.308
12/17/2016,2.3966,1.593,38.6,-1.517,88.548,46.542
12/31/2016,0.53847,1.783,50.8,6.703,92.266,1.209
1/14/2017,0.585,0.46,0.6,2.035,81.324,43.096
1/28/2017,9.14859,0.635,59.8,0.899,86.833,77.215
2/11/2017,1.46648,4.78,197.6,5.103,90.216,4.93
2/25/2017,0.74385,1.047,8,2.593,72.131,37.882
3/11/2017,1.06384,0.774,8,7.644,61.624,32.673
3/25/2017,3.04032,1.18,48.2,10.217,73.064,31.035
4/8/2017,2.2841,5.036,99.8,6.151,75.817,69.881
4/22/2017,5.06645,2.953,38.2,10.958,82.014,37.98
5/6/2017,6.57757,4.581,168.8,7.765,81.899,60.978
5/20/2017,4.36327,4.178,218.4,9.912,85.971,37.987
6/3/2017,1.70768,4.719,124.6,14.89,84.56,31.637
6/17/2017,0.6435,1.317,2.2,22.183,67.421,1.726
7/1/2017,0.3816,0.555,14.4,24.379,71.384,31.15
7/15/2017,0.30067,0.396,33.8,18.787,74.479,57.758
7/29/2017,0.15645,0.353,52,21.024,73.708,28.394
8/12/2017,0.09894,0.153,19.6,25.747,70.539,4.359
8/26/2017,0.1269,0.074,12.6,18.685,75.113,64.826
9/9/2017,0.11336,0.141,22.2,14.467,84.265,3.876
9/23/2017,0.21565,0.115,29.4,12.335,80.512,38.419
10/7/2017,0.22568,0.237,60.4,11.849,86.562,48.007
10/21/2017,0.3723,0.222,51.8,13.783,85.369,58.865
11/4/2017,10.46583,0.625,62,9.882,93.101,104.346
11/18/2017,7.33106,12.891,199.4,6.638,89.845,21.661
12/2/2017,8.24998,8.277,119.2,7.771,88.107,41.108
12/16/2017,4.31572,5.726,136.6,5.769,92.095,15.014
12/30/2017,1.19407,2.742,128.4,2.256,84.862,0.437
1/13/2018,0.71094,1.013,0.2,4.267,85.923,101.028
1/27/2018,3.01554,0.667,39,4.683,92.402,11.97
2/10/2018,1.46536,2.667,25.4,5.371,70.622,20.187
2/24/2018,8.43115,0.992,19,8.304,75.67,69.861
3/10/2018,1.80964,12.859,204,3.717,76.274,5.15
3/24/2018,2.93868,1.338,4.2,9.235,78.867,41.687
4/7/2018,1.28968,3.525,56.4,6.533,78.773,3.843
4/21/2018,3.31033,1.021,4.8,15.76,62.099,105.78
5/5/2018,1.0528,2.226,109,12.221,73.214,33.577
5/19/2018,2.28096,1.2,42.8,13.121,75.053,19.59
6/2/2018,1.23774,1.274,76.6,10.16,76.084,48.662
6/16/2018,0.65872,0.937,47.4,15.294,71.92,60.966
6/30/2018,0.28179,0.644,15.2,22.207,69.033,13.385
7/14/2018,0.71656,0.26,8,20.453,70.487,7.158
7/28/2018,0.19303,0.413,27.6,19.479,73.601,9.436
8/11/2018,0.1316,0.21,45.4,21.543,74.452,37.152
8/25/2018,0.1463,0.143,1.2,25.11,69.842,23.155
9/8/2018,0.11328,0.171,38.4,20.043,73.726,17.213
9/22/2018,0.54223,0.137,26.4,17.817,77.658,96.147
10/6/2018,2.04263,0.399,162.8,11.879,82.327,24.384
10/20/2018,0.5895,2.738,246.4,7.864,88.708,36.949
11/3/2018,0.43516,1.141,37,12.928,88.801,33.187
11/17/2018,2.431,0.437,3.2,8.74,94.533,22.266
12/1/2018,10.103,1.115,36.6,5.779,92.551,89.098
12/15/2018,5.58843,9.496,249.6,2.975,95.068,17.884
12/29/2018,9.78922,8.113,20.6,1.057,93.771,70.936
1/12/2019,4.98294,4.997,256.2,-1.907,92.887,32.553
1/26/2019,4.034,7.393,65,3.893,87.667,57.672
2/9/2019,4.0602,3.889,52.4,8.893,90.393,115.242
2/23/2019,1.4877,2.709,65.2,6.897,83.473,0.083
3/9/2019,0.91105,1.308,2.6,3.578,78.824,36.747
3/23/2019,0.87815,0.865,6.2,-0.594,75.643,39.868
4/6/2019,4.16019,1.231,14,9.212,67.476,41.824
4/20/2019,2.98464,7.139,103.8,3.472,80.943,24.896
5/4/2019,2.025,4.786,78.4,12.017,81.417,11.146
5/18/2019,2.12318,1.576,37,9.615,70.202,14.052
6/1/2019,1.17909,1.238,36.6,14.682,68.205,25.776
6/15/2019,2.53935,1.632,45.8,20.024,74.193,0.258
6/29/2019,0.16074,3.654,0.6,21.06,65.393,1.18
7/13/2019,0.14162,0.148,0.2,21.224,60.301,12.949
7/27/2019,0.1323,0.139,32,23.172,71.542,4.06
8/10/2019,0.6251,0.144,42.6,20.961,57.173,0.406
8/24/2019,0.14725,1.198,0,22.633,57.926,28.824
9/7/2019,0.11625,0.149,31.8,16.871,73.652,32.557
9/21/2019,0.13992,0.142,26.4,16.469,68.742,0
11/2/2019,2.3056,0.478,9.4,8.322,89.479,63.062
11/16/2019,2.37204,2.04,135.2,9.599,93.423,125.154
11/30/2019,8.424,2.784,111.4,3.899,94.952,163.609
12/14/2019,4.20274,7.67,169.2,0.771,91.695,19.729
12/28/2019,5.044,5.985,106.4,7.164,91.719,39.66
1/11/2020,1.89441,4.758,70,-0.412,93.302,22.527
1/25/2020,1.56492,0.837,0.4,2.499,89.356,6.994
2/8/2020,2.73728,1.696,5.2,5.658,82.575,4.651
2/22/2020,1.8084,5.079,97.6,8.912,82.037,46.06
3/7/2020,1.02742,1.641,46.2,-0.739,74.874,2.116
3/21/2020,3.53207,1.024,0.6,3.297,77.797,13.856
4/4/2020,2.18066,5.809,115.8,2.54,71.542,5.087
4/18/2020,5.79508,1.486,19.2,9.513,72.254,67.193
5/2/2020,3.24614,4.373,115.8,10.471,76.299,21.227
5/16/2020,0.893,2.611,61.4,18.246,82.469,3.284
5/30/2020,0.5457,0.709,17,17.287,72.012,36.304
6/13/2020,0.30452,0.436,9.8,17.357,77.839,2.271
6/27/2020,1.95408,0.272,0.4,22.239,64.346,7.948
7/11/2020,0.10622,0.154,26.8,18.625,63.616,5.498
7/25/2020,0.11844,0.115,0.2,27.661,58.312,19.383
